Sourceid,Title,SJR,field,octile
12137,Journal of Statistical Software,13.802,17,8
12213,ACM Transactions on Computer Systems,1.438,17,8
12303,Information and Management,1.628,17,8
12321,Information Systems Journal,1.752,17,8
12360,International Journal of General Systems,1.665,17,8
12396,Journal of Strategic Information Systems,1.707,17,8
12402,MIS Quarterly: Management Information Systems,5.085,17,8
12815,Journal of Information Technology,1.752,17,8
12872,Cognitive Psychology,2.733,17,8
12874,Cognitive Science,1.423,17,8
12996,IEEE Signal Processing Magazine,1.747,17,8
13017,Physics of Life Reviews,2.788,17,8
13184,Computer Physics Communications,1.729,17,8
13191,Journal of Computational Physics,2.047,17,8
13971,Library and Information Science Research,1.188,17,8
14966,Journal of Manufacturing Systems,1.548,17,8
15074,European Journal of Information Systems,1.628,17,8
15107,IEEE Transactions on Information Theory,1.162,17,8
15134,Information Sciences,1.635,17,8
15574,Information Systems Research,3.16,17,8
15631,International Journal of Information Management,1.373,17,8
15700,Journal of Management Information Systems,2.489,17,8
16733,IEEE Transactions on Medical Imaging,1.895,17,8
16965,Internet and Higher Education,3.347,17,8
17249,IEEE Communications Magazine,2.297,17,8
17271,Medical Image Analysis,1.928,17,8
17339,IEEE Transactions on Automatic Control,3.433,17,8
17391,IEEE Transactions on Signal Processing,1.247,17,8
17645,Computers and Education,2.626,17,8
17929,BMC Bioinformatics,1.479,17,8
17945,Bioinformatics,6.14,17,8
17956,Briefings in Bioinformatics,2.505,17,8
18050,International Journal of Robotics Research,2.471,17,8
18093,Archives of Computational Methods in Engineering,1.41,17,8
18120,ACM Transactions on Mathematical Software,1.23,17,8
18136,Applied Soft Computing Journal,1.199,17,8
18158,Computer Methods in Applied Mechanics and Engineering,2.883,17,8
18163,Computers and Geotechnics,1.979,17,8
18164,Computers and Industrial Engineering,1.463,17,8
18171,Computers and Structures,1.63,17,8
18232,Journal of Computer-Mediated Communication,2.961,17,8
18378,IEEE Transactions on Intelligent Transportation Systems,1.175,17,8
18534,International Journal for Numerical Methods in Fluids,1.183,17,8
18658,Production Planning and Control,1.256,17,8
18661,Structural and Multidisciplinary Optimization,1.458,17,8
18902,IEEE Journal on Selected Areas in Communications,1.741,17,8
18916,Social Science Computer Review,1.229,17,8
18933,IEEE Transactions on Wireless Communications,1.246,17,8
18935,IEEE Wireless Communications,1.878,17,8
18947,User Modelling and User-Adapted Interaction,1.171,17,8
19113,IEEE/ASME Transactions on Mechatronics,1.537,17,8
19169,Journal of Operations Management,5.739,17,8
19419,Computers in Human Behavior,1.555,17,8
20541,Computational Materials Science,1.766,17,8
20893,"Transportation Research, Part C: Emerging Technologies",2.293,17,8
20896,Telematics and Informatics,1.299,17,8
20966,"Journal of Manufacturing Science and Engineering, Transactions of the ASME",1.181,17,8
20969,Journal of Machine Learning Research,1.271,17,8
20972,Journal of Materials Processing Technology,1.695,17,8
21080,Mechanical Systems and Signal Processing,1.805,17,8
21094,Mechanism and Machine Theory,1.301,17,8
21463,International Journal of Health Geographics,1.385,17,8
21933,Decision Support Systems,1.656,17,8
22140,Mathematics of Operations Research,1.267,17,8
22238,Operations Research,2.951,17,8
22478,Journal of Memory and Language,1.893,17,8
23038,ACM Computing Surveys,1.631,17,8
23127,Journal of the ACM,1.208,17,8
23295,Environmental Modelling and Software,1.963,17,8
23490,Journal of Scientific Computing,1.675,17,8
23614,Statistics and Computing,2.545,17,8
23640,Advanced Engineering Informatics,1.167,17,8
23715,Science Technology and Human Values,1.596,17,8
23844,Journal of Combinatorial Theory. Series B,1.874,17,8
23987,Neuroinformatics,1.586,17,8
24201,Expert Systems with Applications,1.271,17,8
24242,IEEE Transactions on Fuzzy Systems,4.024,17,8
24254,IEEE Transactions on Pattern Analysis and Machine Intelligence,2.367,17,8
24309,International Journal of Neural Systems,1.297,17,8
24355,Computers and Operations Research,1.916,17,8
24363,Journal of Intelligent Manufacturing,1.179,17,8
24756,Match,1.52,17,8
24772,Knowledge-Based Systems,1.378,17,8
24804,Neural Networks,2.359,17,8
24972,ACM Transactions on Graphics,1.344,17,8
25037,IEEE Transactions on Evolutionary Computation,3.493,17,8
25040,INFORMS Journal on Computing,1.504,17,8
25534,IEEE Transactions on Image Processing,1.374,17,8
25563,Systems and Control Letters,1.939,17,8
