Sourceid,Title,SJR,field,octile
12274,Progress in Aerospace Sciences,1.716,22,8
12330,Journal of Materials Science and Technology,1.138,22,8
12336,International Journal for Numerical Methods in Engineering,1.623,22,8
12342,International Journal of Control,1.152,22,8
12383,International Journal of Impact Engineering,2.124,22,8
12481,Journal of Engineering Education,2.687,22,8
12490,Journal of Fluids and Structures,1.481,22,8
13037,Annual Review of Biomedical Engineering,4.251,22,8
13182,Progress in Nuclear Energy,1.239,22,8
13549,Journal of Atmospheric and Oceanic Technology,1.285,22,8
13688,Applied Thermal Engineering,1.505,22,8
13853,Reliability Engineering and System Safety,1.665,22,8
14398,International Journal of Solids and Structures,1.295,22,8
14422,Journal of Non-Newtonian Fluid Mechanics,1.14,22,8
14588,Theoretical and Applied Fracture Mechanics,1.138,22,8
14642,Tunnelling and Underground Space Technology,1.696,22,8
14726,Technovation,2.007,22,8
15163,Applied Mechanics Reviews,2.451,22,8
15579,Current Opinion in Biotechnology,3.202,22,8
15846,Journal of Biomechanics,1.147,22,8
15995,Composites Science and Technology,1.702,22,8
16088,Journal of Nanobiotechnology,1.38,22,8
16305,Journal of Structural Engineering,1.74,22,8
16318,IEEE Transactions on Biomedical Engineering,1.267,22,8
16321,IEEE Transactions on Neural Systems and Rehabilitation Engineering,1.152,22,8
16322,Desalination,1.955,22,8
16733,IEEE Transactions on Medical Imaging,1.895,22,8
16936,Minerals Engineering,1.248,22,8
17249,IEEE Communications Magazine,2.297,22,8
17337,IEEE Transactions on Antennas and Propagation,1.309,22,8
17339,IEEE Transactions on Automatic Control,3.433,22,8
17370,IEEE Transactions on Power Delivery,1.814,22,8
17392,Soils and Foundations,1.159,22,8
17458,European Cells and Materials,1.345,22,8
17797,Materials and Design,1.82,22,8
17814,Materials Science and Engineering: R: Reports,8.408,22,8
17852,NDT and E International,1.205,22,8
17853,Nano Letters,7.447,22,8
17985,International Journal of Electrical Power and Energy Systems,1.276,22,8
18050,International Journal of Robotics Research,2.471,22,8
18063,Journal of Power Sources,2.202,22,8
18164,Computers and Industrial Engineering,1.463,22,8
18380,Tribology Letters,1.204,22,8
18658,Production Planning and Control,1.256,22,8
18933,IEEE Transactions on Wireless Communications,1.246,22,8
18935,IEEE Wireless Communications,1.878,22,8
19732,Osteoarthritis and Cartilage,2.497,22,8
19804,CIRP Annals - Manufacturing Technology,2.034,22,8
19881,Advanced Materials,10.579,22,8
20307,Engineering Analysis with Boundary Elements,1.219,22,8
20446,International Journal of Engine Research,1.315,22,8
20448,International Journal of Heat and Mass Transfer,1.498,22,8
20450,International Journal of Multiphase Flow,1.218,22,8
20541,Computational Materials Science,1.766,22,8
20594,Engineering Fracture Mechanics,1.244,22,8
20891,Transportation Research Part A: Policy and Practice,1.939,22,8
20897,Transportation Research Part F: Traffic Psychology and Behaviour,1.462,22,8
20949,"Journal of Applied Mechanics, Transactions ASME",1.133,22,8
20969,Journal of Machine Learning Research,1.271,22,8
20972,Journal of Materials Processing Technology,1.695,22,8
21105,International Journal of Fatigue,1.402,22,8
21117,International Journal of Plasticity,3.395,22,8
21576,Nonlinear Dynamics,1.468,22,8
21955,Critical Reviews in Food Science and Nutrition,1.596,22,8
22030,Canadian Geotechnical Journal,1.813,22,8
22094,Thin-Walled Structures,1.672,22,8
22156,Wear,1.386,22,8
23715,Science Technology and Human Values,1.596,22,8
23833,Cement and Concrete Research,4.223,22,8
24769,Materials Today,7.111,22,8
25208,Archive for Rational Mechanics and Analysis,3.93,22,8
25406,European Journal of Control,1.174,22,8
25563,Systems and Control Letters,1.939,22,8
25663,Journal of Ship Research,1.131,22,8
26055,IEEE Transactions on Power Electronics,2.215,22,8
26776,Applied Ocean Research,1.267,22,8
27130,Progress in Quantum Electronics,3.999,22,8
27289,Materials Characterization,1.291,22,8
