Sourceid,Title,SJR,field,octile
12455,Molecular Therapy,3.141,30,8
12611,Drug Resistance Updates,3.986,30,8
13903,Cellular and Molecular Life Sciences,3.388,30,8
15576,European Neuropsychopharmacology,1.911,30,8
15984,Journal of Molecular Medicine,2.177,30,8
16088,Journal of Nanobiotechnology,1.38,30,8
16876,Bioconjugate Chemistry,1.801,30,8
18017,Neuropsychopharmacology,3.327,30,8
18148,Pain,2.671,30,8
18403,Apoptosis : an international journal on programmed cell death,1.424,30,8
19409,Advanced Drug Delivery Reviews,4.09,30,8
19479,Annual Review of Pharmacology and Toxicology,6.718,30,8
19615,Antimicrobial Agents and Chemotherapy,2.291,30,8
19617,Antiviral Research,1.925,30,8
19907,Medicinal Research Reviews,2.895,30,8
19963,Molecular Pharmacology,2.076,30,8
20063,Biochemical Pharmacology,1.832,30,8
20082,British Journal of Clinical Pharmacology,1.543,30,8
20084,British Journal of Pharmacology,2.603,30,8
20425,Nature Reviews Drug Discovery,10.106,30,8
20435,Neuropharmacology,2.043,30,8
20624,Clinical Pharmacokinetics,1.482,30,8
20626,Clinical Pharmacology and Therapeutics,1.699,30,8
20681,Current Opinion in Pharmacology,2.504,30,8
20783,Expert Review of Vaccines,1.551,30,8
21124,Pharmaceutical Statistics,1.494,30,8
21165,PharmacoEconomics,1.998,30,8
21169,Pharmacological Research,1.811,30,8
21191,Pharmacological Reviews,9.472,30,8
21195,Pharmacology and Therapeutics,4.072,30,8
21196,Drug Discovery Today,2.008,30,8
21226,Drug Metabolism and Disposition,1.433,30,8
21237,Drug Safety,1.447,30,8
21354,Expert Opinion on Therapeutic Targets,1.597,30,8
21767,Progress in Neuro-Psychopharmacology and Biological Psychiatry,1.714,30,8
21782,Psychopharmacology,1.494,30,8
22321,Trends in Pharmacological Sciences,4.794,30,8
22418,Journal of Antimicrobial Chemotherapy,2.419,30,8
22452,International Journal of Neuropsychopharmacology,1.808,30,8
22477,Investigational New Drugs,1.573,30,8
23010,Journal of Controlled Release,2.684,30,8
23041,Journal of Medicinal Chemistry,2.567,30,8
23086,Journal of Pharmacology and Experimental Therapeutics,1.586,30,8
23109,Journal of Psychopharmacology,1.939,30,8
23916,Environmental Pollution,1.615,30,8
24604,Archives of Toxicology,1.541,30,8
24661,Critical Reviews in Toxicology,1.828,30,8
24749,Addiction Biology,1.952,30,8
24786,Alcohol and Alcoholism,1.376,30,8
24791,Alcoholism: Clinical and Experimental Research,1.449,30,8
25152,Journal of Toxicology and Environmental Health - Part B: Critical Reviews,1.816,30,8
25218,Toxicological Sciences,1.538,30,8
26371,Natural Product Reports,3.918,30,8
26380,Drug and Alcohol Dependence,1.715,30,8
84948,Expert Opinion on Drug Delivery,1.432,30,8
130126,Molecular Pharmaceutics,1.572,30,8
144771,Clinical Trials,2.399,30,8
145164,Human Genomics,1.501,30,8
4000148406,Clinical Toxicology,1.792,30,8
4000149101,"Nanomedicine: Nanotechnology, Biology, and Medicine",1.743,30,8
4400151524,Particle and Fibre Toxicology,2.253,30,8
4700152457,Nano Today,7.191,30,8
4700152872,Journal of NeuroImmune Pharmacology,1.379,30,8
4700152903,Forensic Toxicology,1.407,30,8
5100155080,Neurotherapeutics,2.53,30,8
5400152706,Nanotoxicology,1.63,30,8
11700154316,CNS Neuroscience and Therapeutics,1.38,30,8
11900154404,PLoS Neglected Tropical Diseases,2.589,30,8
19600166320,Protein & Cell,2.286,30,8
19700174891,Perspectives in Medicinal Chemistry,2.374,30,8
19700174913,Therapeutic Advances in Neurological Disorders,1.522,30,8
19700175015,Infection and Drug Resistance,1.603,30,8
19700177127,ACS Medicinal Chemistry Letters,1.388,30,8
19700178100,"Nanotechnology, Science and Applications",2.723,30,8
19900193739,Nucleic Acid Therapeutics,1.794,30,8
20700195026,Acta Pharmaceutica Sinica B,1.793,30,8
21100197941,International Journal for Parasitology: Drugs and Drug Resistance,1.556,30,8
21100207003,Theranostics,2.515,30,8
21100214102,Frontiers in Pharmacology,1.587,30,8
21100218543,Molecular Therapy - Nucleic Acids,2.523,30,8
21100225611,Advanced healthcare materials,1.989,30,8
21100232818,Emerging Microbes and Infections,2.433,30,8
21100335701,Vaccines,1.691,30,8
21100466864,Journal for ImmunoTherapy of Cancer,2.798,30,8
12584,Drug Metabolism Reviews,1.271,30,7
13250,Expert Opinion on Biological Therapy,1.117,30,7
14144,Experimental and Clinical Psychopharmacology,1.176,30,7
14990,Current Neuropharmacology,1.21,30,7
16573,Phytotherapy Research,1.136,30,7
17067,Phytomedicine,1.087,30,7
17464,European Journal of Medicinal Chemistry,1.266,30,7
17595,Journal of Biomolecular Screening,1.074,30,7
17605,Journal of Enzyme Inhibition and Medicinal Chemistry,1.04,30,7
18071,Neurotoxicity Research,1.063,30,7
18073,NeuroToxicology,1.017,30,7
18075,Neurotoxicology and Teratology,0.987,30,7
19403,Acta Pharmacologica Sinica,1.173,30,7
19984,Assay and Drug Development Technologies,1.033,30,7
20051,BioDrugs,1.038,30,7
20473,Life Sciences,1.071,30,7
20578,Journal of Food and Drug Analysis,1.071,30,7
21123,Pharmaceutical Research,1.077,30,7
21168,Pharmacogenomics Journal,1.32,30,7
21197,Pharmacology Biochemistry and Behavior,1.15,30,7
21326,European Journal of Clinical Pharmacology,1.159,30,7
21331,European Journal of Pharmaceutical Sciences,1.016,30,7
21332,European Journal of Pharmaceutics and Biopharmaceutics,1.342,30,7
21333,European Journal of Pharmacology,1.057,30,7
21350,Expert Opinion on Emerging Drugs,1.109,30,7
21351,Expert Opinion on Investigational Drugs,1.166,30,7
22378,Vascular Pharmacology,1.352,30,7
22410,Inflammation Research,1.062,30,7
22432,International Immunopharmacology,1.051,30,7
22454,International Journal of Pharmaceutics,1.172,30,7
22552,Cardiovascular Drugs and Therapy,1.349,30,7
22982,Journal of Cardiovascular Pharmacology and Therapeutics,1.272,30,7
22983,Journal of Clinical Pharmacology,0.997,30,7
23015,Journal of Ethnopharmacology,1.15,30,7
23035,Journal of Biopharmaceutical Statistics,1.294,30,7
23053,Journal of Natural Products,1.368,30,7
23079,Journal of Pharmaceutical Sciences,0.984,30,7
23085,Journal of Pharmacological Sciences,0.986,30,7
23488,Current Medicinal Chemistry,1.015,30,7
24649,Chemical Research in Toxicology,1.187,30,7
24652,Chemico-Biological Interactions,1.033,30,7
24763,Addictive Behaviors,1.29,30,7
24785,Alcohol,1.153,30,7
25096,Food and Chemical Toxicology,1.144,30,7
25125,Journal of Analytical Toxicology,1.065,30,7
25219,Toxicology,1.1,30,7
25222,Toxicology and Applied Pharmacology,1.275,30,7
25240,Toxicology Letters,1.103,30,7
26767,Altex,1.001,30,7
28792,Cancer Biology and Therapy,1.3,30,7
29097,Cancer Chemotherapy and Pharmacology,1.147,30,7
29712,Clinical Therapeutics,1.151,30,7
110112,"Journal of immunotherapy (Hagerstown, Md. : 1997)",1.373,30,7
110174,Prostaglandins and Other Lipid Mediators,1.191,30,7
144790,Marine Drugs,0.978,30,7
4000148019,AAPS Journal,1.118,30,7
4400151608,ChemMedChem,1.137,30,7
4400151701,Journal of Exposure Science and Environmental Epidemiology,1.346,30,7
4700152278,Drugs in Context,1.194,30,7
4700152848,PPAR Research,1.204,30,7
6800153101,Expert Opinion on Drug Discovery,1.309,30,7
7000153203,Journal of Studies on Alcohol and Drugs,1.266,30,7
7700153108,International journal of nanomedicine,1.225,30,7
