Sourceid,Title,SJR,field,octile
13530,"Journal of the Royal Statistical Society. Series A, (Statistics in Society)",1.982,20,8
14194,Games and Economic Behavior,1.823,20,8
14834,Journal of Development of Economics,3.066,20,8
15298,Structural Equation Modeling,3.818,20,8
15495,Finance and Stochastics,2.997,20,8
16160,Review of Finance,3.345,20,8
16161,Review of Financial Studies,14.237,20,8
16220,Journal of Law and Economics,1.762,20,8
16922,Labour Economics,1.709,20,8
17500,Journal of Finance,18.318,20,8
17555,Journal of Monetary Economics,7.204,20,8
17557,"Journal of Money, Credit and Banking",3.002,20,8
18034,World Bank Research Observer,2.644,20,8
18173,Mathematical Finance,2.83,20,8
19165,International Journal of Production Economics,2.401,20,8
19482,Econometrica,19.932,20,8
19691,International Journal of Electronic Commerce,1.96,20,8
19875,Journal of Common Market Studies,1.873,20,8
20022,Economic Policy,3.584,20,8
20048,Economica,2.356,20,8
20246,Journal of Labor Economics,9.108,20,8
20290,Ecological Economics,1.657,20,8
20635,Journal of Management,6.462,20,8
20749,European Economic Review,2.277,20,8
21203,Long Range Planning,1.711,20,8
22697,American Economic Review,12.047,20,8
22750,Journal of Economic Geography,2.714,20,8
22899,Journal of Consumer Research,5.856,20,8
22951,Journal of Marketing,8.616,20,8
22961,Journal of Marketing Research,7.819,20,8
23011,Economic Journal,5.161,20,8
23352,Journal of Environmental Economics and Management,2.198,20,8
23666,International Economic Review,3.188,20,8
23672,RAND Journal of Economics,3.646,20,8
23714,Marketing Science,7.58,20,8
23930,Conflict Management and Peace Science,2.441,20,8
24202,Review of Economic Studies,9.589,20,8
24204,Review of Economics and Statistics,7.088,20,8
24379,Journal of Financial Economics,12.489,20,8
24381,Econometric Reviews,1.797,20,8
24385,Journal of the Academy of Marketing Science,4.614,20,8
24392,Journal of International Business Studies,5.198,20,8
24393,Journal of International Economics,4.149,20,8
24404,Journal of Political Economy,16.309,20,8
24406,Journal of Urban Economics,2.321,20,8
24849,Scandinavian Journal of Economics,1.926,20,8
24870,Journal of Human Resources,7.563,20,8
25654,Post-Soviet Affairs,2.411,20,8
26259,Review of Economic Dynamics,3.841,20,8
26261,Review of International Political Economy,2.1,20,8
26796,Socio-Economic Review,2.453,20,8
27162,Journal of Business and Economic Statistics,3.664,20,8
27165,Journal of Economic Literature,7.339,20,8
28092,Economic Geography,2.501,20,8
28096,Accounting Review,3.946,20,8
28418,Brookings Papers on Economic Activity,6.851,20,8
28464,Econometric Theory,2.915,20,8
28488,Economic Theory,2.302,20,8
28527,Experimental Economics,2.276,20,8
28561,Auditing,1.71,20,8
28945,Industrial and Corporate Change,1.792,20,8
28964,Journal of Applied Econometrics,3.899,20,8
28973,Journal of Econometrics,5.191,20,8
28976,Journal of Economic Dynamics and Control,1.795,20,8
28978,Journal of Economic Growth,5.529,20,8
28979,Journal of Economic History,1.82,20,8
28980,Journal of Economic Perspectives,7.374,20,8
28981,Journal of Economic Theory,3.693,20,8
28996,Journal of Financial Intermediation,1.775,20,8
29009,Journal of Public Economics,3.44,20,8
29104,Small Business Economics,1.937,20,8
29113,Contemporary Accounting Research,2.604,20,8
29170,Critical Perspectives on Accounting,1.773,20,8
29374,Energy Economics,1.916,20,8
29400,Journal of World Business,1.722,20,8
29431,Quarterly Journal of Economics,29.602,20,8
29838,Journal of Accounting and Economics,6.875,20,8
29857,Journal of Accounting Research,6.957,20,8
30060,World Development,2.122,20,8
35048,Food Policy,1.95,20,8
69623,American Journal of Agricultural Economics,2.113,20,8
80370,Journal of Financial and Quantitative Analysis,3.636,20,8
130105,"Accounting, Auditing and Accountability Journal",2.187,20,8
144981,Quantitative Marketing and Economics,6.239,20,8
145695,Journal of Financial Econometrics,2.111,20,8
100147317,Journal of Supply Chain Management,5.015,20,8
100147318,Entrepreneurship: Theory and Practice,3.648,20,8
4000148307,Family Business Review,2.303,20,8
4700152266,Econometrics Journal,2.926,20,8
4700152638,Review of International Organizations,3.327,20,8
6400153126,Theoretical Economics,6.342,20,8
7500153126,Journal of the European Economic Association,6.401,20,8
11600153422,Review of Environmental Economics and Policy,2.459,20,8
18400156711,"Cambridge Journal of Regions, Economy and Society",2.438,20,8
19700187515,International Journal of Central Banking,2.39,20,8
19700200701,Annual Review of Economics,8.37,20,8
19700200702,Annual Review of Financial Economics,4.23,20,8
19700200703,Annual Review of Resource Economics,1.674,20,8
19900191767,American Economic Journal: Applied Economics,9.039,20,8
19900191883,American Economic Journal: Microeconomics,4.723,20,8
19900191884,American Economic Journal: Economic Policy,9.149,20,8
19900191885,American Economic Journal: Macroeconomics,10.441,20,8
21100217630,Strategic Entrepreneurship Journal,2.712,20,8
21100255526,Quantitative Economics,4.618,20,8
12277,Management Accounting Research,1.426,20,7
13217,European Journal of Health Economics,1.153,20,7
14122,Economic Development and Cultural Change,1.435,20,7
14453,Emerging Markets Review,1.113,20,7
14733,Financial Analysts Journal,0.924,20,7
15139,Regional Science and Urban Economics,1.454,20,7
15465,Pacific Basin Finance Journal,1.135,20,7
16242,"Journal of Law, Economics, and Organization",1.585,20,7
16509,Journal of Futures Markets,0.895,20,7
17472,Journal of Banking and Finance,1.503,20,7
17493,Internet Research,1.645,20,7
17496,Journal of Corporate Finance,1.461,20,7
17499,Journal of Empirical Finance,0.915,20,7
17528,Journal of Financial Markets,1.237,20,7
17529,Journal of Financial Services Research,1.31,20,7
17531,"Journal of International Financial Markets, Institutions and Money",0.984,20,7
17533,Journal of International Money and Finance,1.608,20,7
18111,Insurance: Mathematics and Economics,1.083,20,7
18900,Journal of Transport Economics and Policy,1.111,20,7
19251,"Work, Employment and Society",1.615,20,7
19692,Economics of Education Review,1.482,20,7
20002,Economic Inquiry,0.992,20,7
20043,Scandinavian Actuarial Journal,0.917,20,7
20109,Macroeconomic Dynamics,1.169,20,7
20176,Business Economics,0.944,20,7
20193,Business Ethics,0.924,20,7
20566,China Economic Review,1.077,20,7
20633,Journal of International Management,1.432,20,7
20662,Entrepreneurship and Regional Development,1.461,20,7
20672,Journal of Productivity Analysis,1.054,20,7
20928,Environmental and Resource Economics,1.186,20,7
21081,Contributions to Political Economy,0.906,20,7
21255,Feminist Economics,1.255,20,7
21780,Nonlinear Analysis: Real World Applications,1.627,20,7
22223,Forest Policy and Economics,1.01,20,7
22717,Business Ethics Quarterly,1.098,20,7
22751,Journal of Economic Inequality,1.076,20,7
22839,International Marketing Review,0.895,20,7
