Sourceid,Title,SJR,field,octile
12164,Brain and Language,1.472,36,8
12198,Journal of Bone and Joint Surgery - Series A,2.722,36,8
12218,Journal of Head Trauma Rehabilitation,1.545,36,8
12257,Journal of Orthopaedic Trauma,1.451,36,8
13068,Spine,1.736,36,8
13625,Audiology and Neuro-Otology,1.222,36,8
13679,Ear and Hearing,1.735,36,8
14033,Psychology of Sport and Exercise,1.282,36,8
14231,Statistical Methods in Medical Research,1.402,36,8
14352,Brain Topography,1.365,36,8
14604,Ophthalmic and Physiological Optics,1.329,36,8
14875,International Journal of Behavioral Nutrition and Physical Activity,2.626,36,8
15222,Arthroscopy - Journal of Arthroscopic and Related Surgery,1.459,36,8
16101,Human Brain Mapping,2.664,36,8
16270,Archives of Physical Medicine and Rehabilitation,1.501,36,8
16317,Clinical Rehabilitation,1.322,36,8
16733,IEEE Transactions on Medical Imaging,1.895,36,8
16916,Physical Therapy,1.206,36,8
17271,Medical Image Analysis,1.928,36,8
19434,MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control,34.638,36,8
19799,American Journal of Sports Medicine,3.949,36,8
19817,British Journal of Sports Medicine,3.232,36,8
19842,Exercise and Sport Sciences Reviews,1.943,36,8
19864,International Journal of Sports Medicine,1.217,36,8
19871,Journal of Athletic Training,1.442,36,8
19873,Journal of Orthopaedic and Sports Physical Therapy,1.357,36,8
19874,Journal of Science and Medicine in Sport,1.714,36,8
19889,Journal of Strength and Conditioning Research,1.366,36,8
19890,"Knee Surgery, Sports Traumatology, Arthroscopy",1.845,36,8
19894,Medicine and Science in Sports and Exercise,2.073,36,8
20088,Vital and health statistics. Ser. 1: Programs and collection procedures,1.234,36,8
20346,Scandinavian Journal of Medicine and Science in Sports,1.541,36,8
20373,Sports Medicine,3.367,36,8
21723,Journal of Shoulder and Elbow Surgery,2.327,36,8
22281,Reading and Writing,1.372,36,8
22609,Journal of Learning Disabilities,1.578,36,8
22633,Learning Disability Quarterly,1.232,36,8
23402,European Journal of Applied Physiology,1.186,36,8
23454,Journal of Applied Physiology,1.471,36,8
23478,Journal of Physiology,2.051,36,8
23483,Knee,1.244,36,8
23845,Journal of Cardiovascular Magnetic Resonance,2.292,36,8
25545,Diabetes Technology and Therapeutics,1.735,36,8
28025,Gait and Posture,1.188,36,8
28645,Ultrasound in Obstetrics and Gynecology,2.647,36,8
29203,Physics in Medicine and Biology,1.263,36,8
29603,Clinical Orthopaedics and Related Research,1.908,36,8
36099,Archives of Pathology and Laboratory Medicine,1.324,36,8
38062,Exercise Immunology Review,2.104,36,8
71056,MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC,10.892,36,8
73008,"Vital and health statistics. Series 2, Data evaluation and methods research",5.78,36,8
110092,MMWR. Morbidity and mortality weekly report,9.323,36,8
4000148206,Journal of Neurologic Physical Therapy,1.227,36,8
12100156754,Sport Management Review,1.159,36,8
14000156196,International Journal of Sports Physiology and Performance,1.749,36,8
19700176802,Journal of Physiotherapy,1.194,36,8
19700187632,Physical Education and Sport Pedagogy,1.209,36,8
21100241208,Bone and Joint Journal,2.043,36,8
12272,Journal of Rehabilitation Medicine,0.997,36,7
13073,Sports Medicine and Arthroscopy Review,0.824,36,7
13383,Health Care Management Science,0.834,36,7
13601,Journal of the American Academy of Audiology,0.93,36,7
13674,Dysphagia,0.99,36,7
13738,International Journal of Audiology,1.017,36,7
13739,International Journal of Language and Communication Disorders,1.057,36,7
13795,Contact Lens and Anterior Eye,0.996,36,7
13823,Noise and Health,0.876,36,7
13921,High Altitude Medicine and Biology,0.861,36,7
13929,Applied Ergonomics,1.071,36,7
14654,Optometry and Vision Science,1.019,36,7
15122,"Journal of Speech, Language, and Hearing Research",1.001,36,7
15506,Journal of Fluency Disorders,1.073,36,7
15724,Pediatric Exercise Science,0.892,36,7
15846,Journal of Biomechanics,1.147,36,7
16938,Physiotherapy,1.004,36,7
17227,Journal of Neuroradiology,0.985,36,7
18142,Sociology of Sport Journal,0.832,36,7
18548,Histochemistry and Cell Biology,1.044,36,7
19818,Clinical Journal of Sport Medicine,0.999,36,7
19819,Clinics in Sports Medicine,0.838,36,7
19870,Journal of Applied Sport Psychology,0.89,36,7
19912,Physical Therapy in Sport,0.888,36,7
19916,Research in Sports Medicine,0.839,36,7
20934,"Sport, Education and Society",1.128,36,7
21078,Journal of Sport Management,0.943,36,7
21090,Journal of Sports Sciences,1.127,36,7
21170,Clinical Biomechanics,0.982,36,7
21172,Complementary Therapies in Medicine,0.845,36,7
21595,Adapted Physical Activity Quarterly,0.889,36,7
21601,Annals of Dyslexia,0.85,36,7
22481,Journal of Phonetics,1.109,36,7
25504,Diabetes Educator,1.011,36,7
26767,Altex,1.001,36,7
28033,AAC: Augmentative and Alternative Communication,0.919,36,7
28566,American Journal of Occupational Therapy,0.821,36,7
29178,Ergonomics,0.98,36,7
29191,Journal of Aging and Physical Activity,0.874,36,7
29283,Journal of Occupational Rehabilitation,0.88,36,7
29901,International Journal of Hyperthermia,0.941,36,7
30091,Journal of Sport and Exercise Psychology,1.117,36,7
35716,Ultrasound in Medicine and Biology,0.932,36,7
40900,International Journal of Sport Nutrition and Exercise Metabolism,0.963,36,7
78905,Research and Practice for Persons with Severe Disabilities,0.933,36,7
4000149001,Cancer Imaging,1.012,36,7
4000152113,Journal of Sports Science and Medicine,1.091,36,7
4700151731,"Applied Physiology, Nutrition and Metabolism",1.112,36,7
4700151922,Research in Social and Administrative Pharmacy,0.897,36,7
5800207375,European Journal of Sport Science,1.122,36,7
17900156719,International Review of Sport and Exercise Psychology,0.93,36,7
19500157826,Critical Ultrasound Journal,0.915,36,7
19900193557,Sports Health,1.107,36,7
21100197977,Cartilage,0.889,36,7
21100256982,IEEE Journal of Biomedical and Health Informatics,0.991,36,7
21100327967,Trends in hearing,0.832,36,7
21100413715,"Sport, Exercise, and Performance Psychology",0.95,36,7
12054,Arts in Psychotherapy,0.619,36,6
13777,Clinical and Experimental Optometry,0.663,36,6
13783,Journal of Voice,0.735,36,6
13798,"Language, Speech, and Hearing Services in Schools",0.755,36,6
14018,Human Movement Science,0.756,36,6
14112,Rehabilitation Psychology,0.715,36,6
14565,American Journal of Audiology,0.703,36,6
14566,American Journal of Speech-Language Pathology,0.779,36,6
14881,Clinical Linguistics and Phonetics,0.662,36,6
14897,Journal of Electromyography and Kinesiology,0.778,36,6
15281,Sport Psychologist,0.753,36,6
15428,Journal of Communication Disorders,0.762,36,6
16263,American Journal of Physical Medicine and Rehabilitation,0.636,36,6
16807,Applied Immunohistochemistry and Molecular Morphology,0.765,36,6
16915,Physical Medicine and Rehabilitation Clinics of North America,0.77,36,6
17478,Topics in Spinal Cord Injury Rehabilitation,0.801,36,6
17483,Zeitschrift für Medizinische Physik,0.722,36,6
17622,Journal of Photochemistry and Photobiology B: Biology,0.698,36,6
17928,Ultrasonic Imaging,0.692,36,6
18019,NeuroRehabilitation,0.79,36,6
18701,Psychiatric Rehabilitation Journal,0.802,36,6
19816,Biology of Sport,0.641,36,6
19876,Journal of Sport Rehabilitation,0.769,36,6
20032,Acta Radiologica,0.754,36,6
21076,Sports Biomechanics,0.696,36,6
21472,Journal of Teaching in Physical Education,0.757,36,6
23108,Language and Speech,0.739,36,6
23446,Journal of Applied Biomechanics,0.675,36,6
23607,Computerized Medical Imaging and Graphics,0.714,36,6
23710,Journal of Medical Systems,0.619,36,6
23728,Telemedicine Journal and e-Health,0.661,36,6
27728,Digital Investigation,0.635,36,6
28846,Disability and Society,0.618,36,6
29803,Research Quarterly for Exercise and Sport,0.77,36,6
29904,International Journal of Radiation Biology,0.653,36,6
30004,Health information and libraries journal,0.784,36,6
30014,Journal of Motor Behavior,0.617,36,6
35303,Journal of Manipulative and Physiological Therapeutics,0.742,36,6
38758,Canadian Journal of Occupational Therapy,0.626,36,6
40970,"Magnetic Resonance Materials in Physics, Biology, and Medicine",0.707,36,6
145159,Journal of Deaf Studies and Deaf Education,0.801,36,6
147231,International Review for the Sociology of Sport,0.632,36,6
3900148607,Medicine and Sport Science,0.621,36,6
5800228211,European Physical Education Review,0.754,36,6
10800153305,Brazilian Journal of Physical Therapy,0.802,36,6
11700154353,European Journal of Physical and Rehabilitation Medicine,0.754,36,6
