Sourceid,Title,SJR,field,octile
12006,Journal of Vocational Behavior,1.688,33,8
12028,Applied Psychological Measurement,1.17,33,8
12057,Media Psychology,2.108,33,8
12099,British Educational Research Journal,1.361,33,8
12164,Brain and Language,1.472,33,8
12282,Journal of Social Policy,1.063,33,8
12332,Safety Science,1.113,33,8
12442,Progress in Human Geography,4.602,33,8
12457,Progress in Physical Geography,1.373,33,8
12481,Journal of Engineering Education,2.687,33,8
12652,Singapore Journal of Tropical Geography,1.063,33,8
12770,British Journal of Educational Psychology,1.553,33,8
12791,Journal of Academic Librarianship,1.224,33,8
12808,Journal of Educational Psychology,2.93,33,8
12815,Journal of Information Technology,1.752,33,8
12828,Population and Environment,1.659,33,8
12834,Journal of Research in Reading,1.017,33,8
12841,Clinical Child and Family Psychology Review,2.086,33,8
12853,Communication Monographs,1.341,33,8
12855,Comparative Education,1.293,33,8
12856,Comparative Education Review,1.185,33,8
12857,Cognition,2.455,33,8
12859,Cognition and Instruction,1.143,33,8
12872,Cognitive Psychology,2.733,33,8
12882,Contemporary Educational Psychology,2.319,33,8
13124,"Trauma, Violence and Abuse",1.825,33,8
13143,Columbia Law Review,3.939,33,8
13197,Nonprofit and Voluntary Sector Quarterly,1.202,33,8
13268,Scientific Studies of Reading,2.396,33,8
13272,Environment and Planning A,1.348,33,8
13274,Environment and Planning D: Society and Space,2.411,33,8
13354,Journal of Teacher Education,2.437,33,8
13357,Journal of the Learning Sciences,1.811,33,8
13358,Sociology of Education,3.203,33,8
13447,Comparative Political Studies,3.772,33,8
13448,Comparative Politics,2.462,33,8
13455,Learning and Instruction,3.432,33,8
13500,Developmental Psychology,2.066,33,8
13502,Developmental Review,2.8,33,8
13530,"Journal of the Royal Statistical Society. Series A, (Statistics in Society)",1.982,33,8
13563,Educational and Psychological Measurement,1.588,33,8
13600,Georgetown Law Journal,1.965,33,8
13738,International Journal of Audiology,1.017,33,8
13739,International Journal of Language and Communication Disorders,1.057,33,8
13760,Habitat International,1.336,33,8
13822,Cornell Law Review,1.508,33,8
13854,Housing Studies,1.379,33,8
13857,"Housing, Theory and Society",1.169,33,8
13892,International Journal of Urban and Regional Research,1.985,33,8
13929,Applied Ergonomics,1.071,33,8
