Sourceid,Title,SJR,field,octile
12133,Hydrometallurgy,1.208,23,8
12202,Intermetallics,1.568,23,8
12246,Structural Control and Health Monitoring,1.446,23,8
12274,Progress in Aerospace Sciences,1.716,23,8
12330,Journal of Materials Science and Technology,1.138,23,8
12336,International Journal for Numerical Methods in Engineering,1.623,23,8
12342,International Journal of Control,1.152,23,8
12349,International Journal of Engineering Science,2.82,23,8
12360,International Journal of General Systems,1.665,23,8
12383,International Journal of Impact Engineering,2.124,23,8
12481,Journal of Engineering Education,2.687,23,8
12490,Journal of Fluids and Structures,1.481,23,8
12512,Journal of Management in Engineering - ASCE,1.233,23,8
12996,IEEE Signal Processing Magazine,1.747,23,8
12998,"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",1.183,23,8
13030,Journal of Sound and Vibration,1.36,23,8
13037,Annual Review of Biomedical Engineering,4.251,23,8
13182,Progress in Nuclear Energy,1.239,23,8
13549,Journal of Atmospheric and Oceanic Technology,1.285,23,8
13688,Applied Thermal Engineering,1.505,23,8
13761,International Journal of Thermal Sciences,1.429,23,8
13853,Reliability Engineering and System Safety,1.665,23,8
13877,"European Journal of Mechanics, A/Solids",1.676,23,8
14398,International Journal of Solids and Structures,1.295,23,8
14422,Journal of Non-Newtonian Fluid Mechanics,1.14,23,8
14423,Journal of Rheology,1.326,23,8
14428,Journal of the Mechanics and Physics of Solids,1.988,23,8
14588,Theoretical and Applied Fracture Mechanics,1.138,23,8
14642,Tunnelling and Underground Space Technology,1.696,23,8
14726,Technovation,2.007,23,8
14966,Journal of Manufacturing Systems,1.548,23,8
15041,Coastal Engineering,1.767,23,8
15063,Composite Structures,1.905,23,8
15134,Information Sciences,1.635,23,8
15163,Applied Mechanics Reviews,2.451,23,8
15437,Biosensors and Bioelectronics,2.373,23,8
15579,Current Opinion in Biotechnology,3.202,23,8
15652,Engineering Structures,1.69,23,8
15846,Journal of Biomechanics,1.147,23,8
15995,Composites Science and Technology,1.702,23,8
16088,Journal of Nanobiotechnology,1.38,23,8
16113,International Journal of Refrigeration,1.471,23,8
16115,Nature Biotechnology,18.252,23,8
16214,International Journal for Numerical and Analytical Methods in Geomechanics,1.452,23,8
16259,Journal of Composites for Construction,1.84,23,8
16274,Journal of Constructional Steel Research,1.892,23,8
16294,Biomechanics and Modeling in Mechanobiology,1.138,23,8
16305,Journal of Structural Engineering,1.74,23,8
16318,IEEE Transactions on Biomedical Engineering,1.267,23,8
