Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2017);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;21100812243;"Nature Reviews Materials";journal;"20588437";28,630;Q1;61;91;104;7110;2823;58;48,67;78,13;United Kingdom;"Nature Publishing Group";"2016-ongoing";"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1)"
2;5200152704;"Nature Nanotechnology";journal;"17483387";20,612;Q1;286;243;738;7561;19350;562;31,33;31,12;United Kingdom;"Nature Publishing Group";"2006-ongoing";"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
3;17854;"Nature Materials";journal;"14764660, 14761122";18,263;Q1;403;237;809;7813;21775;634;30,36;32,97;United Kingdom;"Nature Publishing Group";"2002-ongoing";"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
4;21100812579;"Nature Energy";journal;"20587546";17,765;Q1;61;175;138;4444;3669;107;34,29;25,39;United States;"Springer Nature";"2016-ongoing";"Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
5;5700165152;"Nature Photonics";journal;"17494885";16,462;Q1;266;189;635;5320;14698;448;27,88;28,15;United Kingdom;"Nature Pub. Group";"2007-ongoing";"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
6;19700188417;"Annual Review of Condensed Matter Physics";journal;"19475454, 19475462";11,377;Q1;51;18;50;2089;1095;50;22,41;116,06;United States;"Annual Reviews Inc.";"2010-ongoing";"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1)"
7;19881;"Advanced Materials";journal;"09359648";10,579;Q1;447;1370;3229;86999;70281;3084;21,92;63,50;United States;"Wiley-Blackwell";"1989-ongoing";"Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Nanoscience and Nanotechnology (Q1)"
8;17899;"Progress in Materials Science";journal;"00796425";9,148;Q1;144;42;100;13497;3223;99;25,13;321,36;United Kingdom;"Elsevier Ltd.";"1961, 1963, 1968-1970, 1972-1974, 1976, 1978-1986, 1988-ongoing";"Materials Science (miscellaneous) (Q1)"
9;17814;"Materials Science and Engineering: R: Reports";journal;"0927796X";8,408;Q1;129;12;38;3214;1265;37;26,96;267,83;Netherlands;"Elsevier BV";"1993-ongoing";"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
10;21100199127;"Advanced Energy Materials";journal;"16146832, 16146840";8,230;Q1;156;552;1161;41920;21271;1116;20,29;75,94;Germany;"Wiley-VCH Verlag";"2011-ongoing";"Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
